Cuadro 15

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	"Del acueducto
 dentro de 
la vivienda "	"Del acueducto 
en el patio 
de la vivienda "	"De una 
llave pública "	"De una
 llave de otra
 vivienda"	"Manantial,
 río, arroyo "	Pozo tubular	Pozo cavado	Lluvia 	"Camión 
tanque "	Botellones 	"Camioncito 
procesada "	Otro
Municipio Santo Domingo de Guzmán	365,548	26,005	1,034	2,317	380	26	587	216	110	1,791	326,883	6,186	13
Municipio Santo Domingo Este	351,360	18,504	1,236	3,147	239	24	569	828	222	2,606	318,955	5,009	21
Municipio Santo Domingo Oeste	143,144	13,762	400	734	127	7	115	93	94	758	124,859	2,187	8
Municipio Santo Domingo Norte	224,697	8,116	539	1,570	171	14	845	737	840	8,768	161,922	41,165	10
Municipio Boca Chica	56,593	2,160	351	271	71	0	68	232	152	679	50,870	1,739	0
Municipio San Antonio de Guerra	20,885	426	197	133	30	1	57	64	140	145	19,415	277	0
Municipio Los alcarrizos	111,928	5,056	406	503	96	26	59	121	71	1,076	102,290	2,212	12
Municipio Pedro Brand	31,206	905	107	325	52	158	59	149	137	214	28,409	691	0
Municipio Moca	54,913	4,750	213	909	91	52	77	30	1,684	129	46,936	33	9
Municipio Cayetano Germosén	2,996	14	3	9	0	0	5	0	269	5	2,690	0	1
Municipio Gaspar Hernández 	15,090	635	48	207	18	275	150	55	1,009	48	12,634	11	0
Municipio Jamao al Norte	2,883	139	8	75	2	104	14	16	129	2	2,391	3	0
Municipio San Víctor	6,588	302	38	132	8	129	57	6	145	3	5,768	0	0
Municipio Puerto Plata	59,241	4,098	247	1,147	36	680	63	88	232	403	51,634	613	0
Municipio Altamira	7,149	167	178	352	8	463	101	105	413	14	5,347	1	0
Municipio Guananico	2,447	56	21	69	16	55	7	5	34	3	2,181	0	0
Municipio Imbert	8,905	150	14	170	13	44	25	23	110	48	8,302	5	1
Municipio Los Hidalgos	4,814	23	28	166	2	132	9	37	189	8	4,217	3	0
Municipio Luperón	6,575	224	41	74	10	0	10	8	101	21	6,078	6	2
Municipio Sosúa	21,065	531	40	393	21	134	31	29	56	78	19,723	29	0
Municipio Villa Isabela 	7,153	97	81	159	6	28	24	12	102	32	6,612	0	0
Municipio Villa Montellano 	7,698	156	23	50	27	36	3	3	38	26	7,324	12	0
Municipio de Santiago	272,180	31,942	608	2,918	165	456	92	25	636	551	234,582	199	6
Municipio Bisonó	17,181	1,053	168	173	42	7	6	4	36	147	15,532	13	0
Municipio Jánico	5,252	972	110	729	21	800	9	11	436	10	2,144	7	3
Municipio Licey al Medio	9,956	856	60	231	13	1	0	2	18	23	8,747	3	2
Municipio San José de las Matas	13,028	4,381	212	1,319	82	1,028	58	10	45	34	5,855	3	1
Municipio Tamboril	19,888	901	61	199	10	112	26	17	101	53	18,396	12	0
Municipio Villa González	14,456	643	91	291	16	102	25	14	155	133	12,981	3	2
Municipio Puñal	15,621	1,484	36	137	17	0	0	4	39	36	13,864	4	0
Municipio Sabana Iglesia	5,222	142	22	191	7	2	0	2	104	4	4,748	0	0
Municipio Baitoa	3,919	64	42	53	5	1	2	5	430	18	3,292	7	0
Municipio La Vega	96,210	4,755	202	818	168	220	796	80	5,350	225	83,521	74	1
Municipio Constanza	23,946	2,620	491	1,255	177	1,251	407	17	14	64	17,636	11	3
Municipio Jarabacoa	23,382	2,949	152	1,181	120	1,770	389	30	99	217	16,251	222	2
Municipio Jima Abajo	10,043	138	66	194	26	74	44	2	147	32	9,319	1	0
Municipio Cotuí	29,915	653	281	751	42	459	607	208	264	92	26,519	38	1
Municipio Cevicos	5,837	34	23	244	10	161	76	95	178	15	5,000	1	0
