ID DEL CENTRO,NOMBRE DEL ESTABLECIMIENTO,DIRECCIÓN DEL CENTRO,TIPO DE CENTRO,REGIONAL DE SALUD,PROVINCIA,MUNICIPIO,SECTOR,AÑO DE APERTURA,COORD. LATITUD,COORD. LONGITUD
7,MATA HAMBRE,CALLE INTERIOR A NO 13  MATA HAMBRE,CENTRO DIAGNOSTICO,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,MATA HAMBRE 1,N/D,18.4539371,-69.9286719
9,DR ROBERT REID CABRAL,AV INDEPENDENCIA ESQ ABRAHAM LINCOLN 2,HOSPITAL INFANTIL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,MATA HAMBRE 3,N/D,18.452469,-69.923584
32,LOS ALCARRIZOS II,C GAVIOTA 5 LOS AMERICANOS I,HOSPITAL MEDIANA COMPLEJIDAD,OZAMA,SANTO DOMINGO,LOS ALCARRIZOS,LOS AMERICANOS,N/D,18.5179,-70.0462
62,CENTRO DIAGNOSTICO DOLORES DE LA CRUZ,DR ISIDRO QUINONES NO 8 EL SILENCIO,CENTRO DIAGNOSTICO,CIBAO NORTE,PUERTO PLATA,VILLA MONTELLANO,EL INGENIO,N/D,19.7315,-70.6028
77,ARENOSO,ARENOSO,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NORDESTE,DUARTE,ARENOSO,ARENOSO 1,N/D,19.186843,-69.860066
78,CASTILLO,CARRETERA CASTILLO HOSTOS,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NORDESTE,DUARTE,CASTILLO,CASTILLO URBANO 1,N/D,19.209166,-70.024442
79,DRA ETANAILDA BRITO,CALLE PRINCIPAL DE PUEBLO NUEVO,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NORDESTE,DUARTE,LAS GUARANAS,LAS GUARANAS 1,N/D,19.199374,-70.224014
80,FELIPE J ACHECAR,AV INDEPENDENCIA 104,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NORDESTE,DUARTE,PIMENTEL,PIMENTEL URBANO 3,N/D,19.184299,-70.109681
87,EL FACTOR,CALLE 27 DE FEBRERO,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NORDESTE,MARIA TRINIDAD SANCHEZ,EL FACTOR,URBANO EL FACTOR 1,N/D,19.3191,-69.8888
88,DR ANTONIO YAPOUR HEDED,AUTOPISTA NAGUA SAN FRANCISCO DE MACORIS NAGUA,HOSPITAL ALTA COMPLEJIDAD,CIBAO NORDESTE,MARIA TRINIDAD SANCHEZ,NAGUA,URBANA SUR 5,N/D,19.365441,-69.850635
118,CLINICA DE FAMILIA LA ROMANA,CALLE GASTON FERNANDO DELIGNE NO 168,CONSULTORIO,YUMA,LA ROMANA,LA ROMANA,LA AVIACION 1,N/D,18.425781,-68.9733
122,DR ANTONIO MUSA,CARRETERA MELLA,HOSPITAL ALTA COMPLEJIDAD,HIGUAMO,SAN PEDRO DE MACORIS,SAN PEDRO DE MACORIS,BARRIO MEXICO 1,N/D,18.469392,-69.307137
130,EL CERCADO,C JOSE FRANCISCO PENA GOMEZ 19,HOSPITAL MEDIANA COMPLEJIDAD,EL VALLE,SAN JUAN,EL CERCADO,CENTRO DEL PUEBLO,N/D,18.7261,-71.5145
139,MONCION,C NOEL OCTAVIO HENDERSON 87,HOSPITAL MEDIANA COMPLEJIDAD,CIBAO NOROESTE,SANTIAGO RODRIGUEZ,MONCION,BARRIO NUEVO,N/D,19.4102,-71.1622
215,BARRIO HERMANAS MIRABAL MONTECRISTI,BARRIO BELLA VISTA EN EL CENTRO COMUNAL,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,MONTE CRISTI,HERMANA MIRABAL,N/D,19.840429,-71.643886
237,HATILLO PALMA,HATILLO PALMA CARRETERA PRINCIPAL,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,GUAYUBIN,HATILLO PALMA 1,N/D,19.6654,-71.2035
238,LOS DERRAMADEROS,LOS DERRAMADEROS,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,GUAYUBIN,LOS DERRAMADEROS,N/D,19.7479,-71.184
241,EL COPEY GUAYUBIN,EL COPEY,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,GUAYUBIN,EL COPEY GUAYUBIN,N/D,19.8015,-71.3092
243,LOS CONUCOS VILLA VASQUEZ,LOS CONUCOS DE VILLA VASQUEZ,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,VILLA VASQUEZ,LOS CONUCOS VILLA VASQUEZ,N/D,19.8331,-71.3783
245,LA ESPERANZA,C JULIO MAYOL 76 B LA ESPERANZA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,VILLA VASQUEZ,LA ESPERANZA,N/D,19.7439,-71.4476
246,BARRIO SUR VILLA VASQUEZ,AVENIDA LIBERTAD AL LADO DEL DISTRITO ESCOLAR,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,VILLA VASQUEZ,BARRIO SUR,N/D,19.7378,-71.4508
257,LA CAPITALITA,BARRIO LA CAPITALISTA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,CASTAÑUELAS,LA CAPITALITA,N/D,19.7251,-71.4967
258,LOS BOMBEROS,FRENTE A LOS BOMBEROS CASTANUEA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,CASTAÑUELAS,LOS BOMBEROS,N/D,19.7138,-71.4968
